1;2104;3;399900
2;1600;3;329900
3;2400;3;369000
4;1416;2;232000
5;3000;4;539900
6;1985;4;299900
7;1534;3;314900
8;1427;3;198999
9;1380;3;212000
10;1494;3;242500
11;1940;4;239999
12;2000;3;347000
13;1890;3;329999
14;4478;5;699900
15;1268;3;259900
16;2300;4;449900
17;1320;2;299000
18;1236;3;199900
19;2600;4;499998
20;3031;4;599000
21;1767;3;252900
22;1888;2;255000
23;1604;3;242900
24;1962;4;259900
25;3890;3;573900
26;1100;3;249900
27;1458;3;464500
28;2526;3;469000
29;2200;3;475000
30;2637;3;299900
31;1839;2;349900
32;1000;1;169900
33;2040;4;314900
34;3137;3;579900
35;1811;4;285900
36;1437;3;249900
37;1239;3;229900
38;2132;4;345000
39;4215;4;549000
40;2162;4;287000
41;1664;2;368500
42;2239;3;329900
43;2567;4;314000
44;1200;3;299000
45;852;2;179900
46;1852;4;299900
47;1203;3;239500
 ;;;
